,Year,Area/Region/Country,Country or Area of Origin / Total,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,TFYR Macedonia,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1494,2015,Channel Islands,82307,2246,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59380,0,0,0,0,0,0,0,0,0,0,0,0,0
1495,2015,Denmark,595876,0,0,12760,334,993,0,1,165,0,3,1273,712,6,3141,1990,321,18,95,1130,35,740,2135,7,49,0,639,481,19499,69,3470,0,7,5839,105,576,29,247,741,3958,0,0,10,16,0,1677,12137,548,0,3403,13,786,0,181,465,851,503,0,191,1202,402,1031,0,21,15,170,620,1775,88,0,341,1562,2223,12826,0,22,3977,7406,0,0,6,676,230,38443,1973,0,2242,17107,10,0,0,250,119,63,106,164,0,135,4131,8772,9998,1201,14689,23515,1708,0,1778,6629,181,2000,1265,219,1668,1,1467,50,65,4623,13593,50,181,256,21,9274,523,62,92,891,9,54,105,0,0,28,151,0,1204,0,17,63,164,0,5861,217,1869,66,0,2132,7437,0,869,199,16,1465,0,0,21153,29,13576,0,86,9,74,1151,11325,33748,1623,0,93,9550,443,0,14570,5999,410,0,0,9,0,6,19,2,0,276,162,1823,19,367,808,0,1402,351,2,11116,1951,0,6133,8594,0,742,31,50,23531,2798,4498,28,3111,12889,0,154,0,17,173,963,35781,16,0,0,1543,7150,387,19312,1109,12871,0,249,291,3,734,10935,0,0,173,632,443
1496,2015,Estonia,194664,159,10,11,6,12,0,0,2,0,0,12,616,0,56,62,1429,0,0,10,0,11431,104,0,0,0,0,0,1,0,55,0,0,69,0,0,0,3,1,101,0,0,0,0,0,6,179,0,0,11,0,3,0,1,0,11,17,0,11,59,5,1,120,0,0,0,6,36,1,0,0,0,3,0,0,0,2142,189,0,0,0,0,1428,1222,5,0,22,0,0,0,0,6,0,0,1,0,0,0,88,19,99,5,25,8,130,0,44,263,1,49,3,3658,1,0,5,530,0,3804,8,0,0,3,0,1790,12,0,0,1,0,0,0,0,0,1,1,0,25,0,0,47,0,0,13,1,0,0,0,18,115,0,9,0,0,12,0,0,133,0,28,0,0,0,0,13,15,534,38,0,0,17,789,0,56,138220,0,0,0,0,0,0,0,0,0,0,1,11,0,0,2,0,13,6,0,1,20,0,146,7,0,3,0,0,403,37,5,359,3,13,0,0,0,0,1,6,77,319,0,0,1,20859,6,468,3,557,0,3,1048,0,6,9,0,0,0,0,5
1497,2015,Faeroe Islands,5517,48,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,14,0,0,0,0,0,13,0,0,0,0,0,0,32,0,0,29,0,0,0,0,0,20,0,0,0,0,0,0,3557,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,22,18,0,0,152,0,0,0,0,0,0,0,0,0,0,0,242,64,10,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,15,130,68,0,0,0,53,0,0,61,30,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,76,0,0,0,0,114,0,0,0,0,0,13,0,0,0,0,0,0,0,100,0,41,0,0,0,0,0,0,0,0,0,0,0
1498,2015,Finland,314856,798,175,4508,358,945,0,0,518,0,0,433,109,2,1272,685,138,9,21,2192,12,359,676,2,20,3,3,171,779,16,1443,0,0,2128,13,57,12,310,849,1864,0,0,2,9,0,517,10827,0,0,1179,3,145,0,72,149,240,517,0,194,229,2,1663,1132,7,5,187,227,1215,70,14,157,48069,2217,0,0,11,0,2734,0,0,12,717,74,7729,1508,0,1268,0,0,0,0,90,94,7,23,12,0,68,2500,178,5995,523,6491,30038,675,0,897,2662,86,1520,308,284,1458,0,142,53,44,1817,630,0,127,217,0,1134,110,15,29,489,2,9,42,0,0,19,51,0,851,0,9,58,4,0,2324,75,1405,103,0,2522,1694,0,240,119,27,2340,0,0,1976,12,2348,0,25,11,25,573,3323,4622,579,0,17,634,165,0,2789,13461,489,0,0,4,0,2,3,0,0,359,191,157,8,148,219,0,200,49,5,11708,942,0,2860,1085,53,1028,0,15,38681,1227,973,52,8214,10588,0,81,0,2,42,759,7367,25,0,2,211,1707,146,6466,604,5454,0,114,135,0,220,6733,0,0,68,207,102
1499,2015,Iceland,39072,0,0,13,45,40,0,2,34,0,0,46,8,1,122,127,13,6,1,4,1,41,121,0,1,3,0,14,152,0,140,0,0,244,1,0,33,1,7,280,0,0,0,0,0,78,589,0,0,191,0,0,0,7,1,171,57,0,5,249,0,2,3327,0,2,32,32,29,13,9,7,130,71,335,0,1,180,545,0,0,0,10,22,1671,62,0,45,65,0,0,0,37,18,0,20,12,0,35,220,0,309,130,63,57,106,0,37,263,18,99,13,21,91,0,2,1,0,745,30,0,1,4,0,1519,143,2,4,35,0,2,8,0,0,0,5,0,93,0,1,20,0,0,168,23,1,35,0,99,291,0,50,7,0,72,0,0,1050,0,38,0,6,4,4,76,1586,11116,583,0,2,37,21,0,405,368,4,0,0,0,0,0,0,0,0,8,21,311,0,15,17,0,246,32,1,2,82,0,547,166,0,0,0,0,1998,160,35,2,41,1212,0,5,0,1,3,28,73,1,0,0,37,277,6,1324,28,2046,0,9,10,0,39,621,0,0,0,8,11
1500,2015,Ireland,749943,0,0,148,297,588,0,2,480,1,2,327,53,7,6601,784,50,27,82,3232,18,611,1638,2,34,57,7,17,640,80,10292,1,16,1974,9,48,4,11,346,5323,0,25,8,10,0,142,12683,1887,0,0,0,2519,0,11,133,506,83,0,288,6081,131,52,980,1,1,10,39,532,27,0,38,2744,154,3,4,14,966,11147,0,1,4,57,255,14368,504,39,636,1,14,0,0,125,50,1,29,4,0,12,8206,38,19764,128,445,453,0,0,220,7910,120,529,111,259,482,0,201,32,34,22126,133,39,107,439,2,38572,156,12,76,4186,2,29,372,0,0,8,3231,0,305,0,7,318,0,1,274,39,64,38,0,136,4980,7,2271,16,129,21894,0,0,305,49,9219,0,16,13,27,127,15312,127507,2486,0,35,193,3787,0,19919,6570,80,7,2,7,0,2,13,0,0,429,22,0,11,196,216,0,11838,210,2,531,8983,0,7751,238,67,588,12,21,1868,553,114,21,655,535,3,114,0,1,111,100,489,4,1,0,149,4564,201,258444,125,30690,0,55,92,1,128,635,0,1,31,340,3098
1501,2015,Isle of Man,45221,1422,733,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39052,0,276,0,0,0,0,0,0,0,0,0,0,0
1502,2015,Latvia,265418,0,0,20,5,14,0,0,1,0,0,18,773,0,139,119,2040,0,0,6,0,45962,97,0,0,0,0,0,5,0,31,0,0,451,0,0,0,0,1,124,0,0,0,0,0,4,192,0,0,8,0,0,0,0,1,5,47,0,18,208,11,0,241,0,0,0,0,35,0,0,0,2886,0,0,0,0,232,277,0,0,0,0,1353,2597,0,0,28,0,0,0,0,0,0,0,0,0,0,0,204,33,85,2,31,9,638,0,98,265,0,12,5,5919,2,0,2,827,0,0,40,0,0,5,0,16964,10,0,0,3,0,0,8,0,0,0,0,0,37,0,0,107,0,0,9,0,0,0,0,11,112,0,11,0,0,10,0,0,161,0,29,0,0,0,0,6,4,1034,43,0,0,31,1710,0,260,137224,0,0,0,0,0,0,0,0,0,1,0,5,0,0,4,0,46,9,0,4,10,1,164,33,0,0,0,0,376,76,16,561,0,10,0,0,0,0,1,1,88,598,0,0,1,35785,7,1148,0,597,0,1,1925,0,29,8,0,0,0,0,3
1503,2015,Lithuania,136021,122,215,21,0,0,0,0,0,0,0,57,574,0,38,51,873,0,0,0,0,35005,174,0,0,0,0,0,0,0,60,0,0,71,0,0,0,0,0,31,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,28,80,0,0,300,0,0,0,0,48,0,0,0,811,0,0,0,0,86,284,0,0,0,0,612,1512,0,0,49,0,0,0,0,0,0,0,0,0,0,0,98,46,0,0,70,0,1240,0,33,286,0,24,0,4541,0,0,0,385,0,5644,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,111,0,0,0,0,24,0,0,967,0,54,0,0,0,0,0,0,2228,50,0,0,0,601,0,181,59466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,557,0,0,0,0,0,260,43,0,332,0,0,0,0,0,0,0,0,64,245,0,0,0,12233,23,3301,0,609,0,22,959,0,0,34,0,0,0,0,0
1504,2015,Norway,746375,787,9924,13319,977,1222,0,0,488,0,0,1092,306,0,2189,1597,514,20,31,1006,22,1002,1682,0,28,0,370,534,13425,119,5207,0,33,5774,32,1036,394,406,690,3050,0,0,0,23,0,6671,11271,1024,86,5728,0,2181,0,279,329,3429,971,0,193,2161,40,247,25415,54,0,800,762,1085,204,0,14912,5127,7789,889,0,41,6866,6324,0,0,0,1166,316,28385,1908,0,2283,292,0,0,0,448,267,55,87,41,0,116,3964,8324,12043,1541,16284,22296,1113,0,825,3995,158,1403,416,901,1961,0,398,191,100,9706,1873,0,940,534,23,36162,135,476,117,824,0,50,95,0,0,58,188,0,1233,0,0,141,407,0,5578,190,3155,84,0,1567,8707,0,636,191,50,1759,0,0,0,55,19512,0,60,0,151,1494,20719,91773,2942,29,61,7529,774,0,12161,17305,623,0,0,0,0,0,0,0,0,605,251,4124,0,520,758,0,3863,379,0,27208,1461,179,6182,9332,3362,3144,39,0,49518,2211,5506,103,2492,18159,0,113,0,0,351,1013,11260,75,0,0,1130,4262,409,19457,927,17568,0,236,479,0,1073,13882,0,41,351,541,290
1505,2015,Sweden,1602522,49792,33195,28621,2127,2956,0,0,746,0,0,3133,2480,0,3881,5841,2836,29,87,7193,110,2741,2383,0,88,0,26,4413,57648,106,6977,0,0,8377,83,2888,374,585,1387,3554,0,0,107,65,0,28393,29470,596,0,11782,0,803,0,417,934,7493,2669,0,708,1710,83,3111,42640,299,42,712,2367,5839,2901,43,21964,10332,16246,0,0,61,159483,9061,0,0,24,4757,1254,49668,2573,0,15271,0,41,0,0,815,509,135,124,144,0,371,16294,5367,22066,2386,68865,130995,2487,0,2589,10078,345,3214,3696,1862,3559,0,2084,945,503,6567,25860,55,947,2176,0,10555,309,112,73,1536,21,134,166,0,0,63,186,0,2447,0,42,2370,840,0,9086,328,1516,125,0,887,10246,0,1116,778,43,4384,0,0,42566,51,11254,0,298,32,200,7444,12053,82210,3478,0,136,10804,741,0,24820,19147,542,0,0,35,0,0,24,0,0,3010,755,9147,68,812,740,0,1495,1195,0,58269,2401,0,9554,7001,5185,3325,38,29,0,3436,68095,303,6117,38368,0,354,0,34,294,4864,46435,234,0,0,4002,6870,1407,24552,1694,19691,0,2185,3498,0,1117,16733,0,0,1341,518,544
1506,2015,United Kingdom,8411021,28061,12162,76256,28688,20924,0,49,12255,454,3116,8844,1396,528,125135,16924,2438,1615,4883,217230,15811,3692,35029,1132,528,3589,361,3155,6605,2740,53056,227,4470,69051,184,3759,997,1017,8587,87086,0,712,133,289,15554,5984,197182,93592,0,21598,120,7457,0,606,6657,7042,2078,0,60084,49041,14583,16357,28024,379,5343,1158,7349,38033,739,243,14844,7301,12990,333,755,5268,11173,153149,0,67,306,9511,2642,286322,108102,9324,57039,46,7807,0,0,818,1972,2006,18297,265,0,532,80056,1735,795776,8068,86091,71080,382503,8259,15294,162151,137172,43040,4930,4236,134151,141,10962,882,558,94066,13359,663,2998,13793,24,151116,1631,874,13939,62075,313,320,28031,0,0,181,34045,0,8191,0,335,1420,876,6105,34023,4967,10189,2066,23,67054,69068,94,59067,316,169,199216,0,0,14224,2676,503540,0,599,935,636,6073,132139,831703,140098,0,2110,5278,2665,10,220089,46042,3729,2275,4732,7672,0,6246,181,0,801,30036,1665,7026,3024,31025,44045,0,85067,1792,283,114110,200218,0,125091,132138,0,15411,371,1244,31035,16737,7761,354,2472,39047,1566,1359,0,232,19783,5152,72100,611,85,0,60065,18262,9604,0,41038,181212,104,1148,2233,131,7670,29032,0,0,15135,27030,112132
1507,2015,Southern Europe,15830496,37320,19113,13381,958395,80038,0,6406,161683,11,52,328381,25361,1,55533,43474,1906,174,129,118173,104,39075,100363,64,3006,8,37,166656,897954,53,340386,1,54,267453,12886,1249,70154,1444,17186,57378,0,0,826,704,2,67742,373487,132,1995,388165,110,7386,0,4888,28759,387474,166674,0,22892,25744,395,9585,16770,149,1322,199970,505403,144147,21791,19794,14620,3541,36991,1,0,77,16471,463178,0,10,2395,18696,105554,615713,67024,5,54646,93,640,0,0,9606,18270,34577,196,1481,178,43715,27616,1810,189487,6013,22619,9853,21185,5,8012,136463,4288,15387,6386,33725,5888,5,13173,2217,495,7864,12774,53,2884,39319,498,22955,10542,3038,707,1374,44,21895,2431,5,0,9374,9778,0,58172,132,1897,1037,93564,78,1133745,72368,551,228,2,5493,69905,0,2699,22018,1408,90005,0,0,19448,123,172782,195,5459,66,61694,301584,196187,201174,130350,0,1325,9242,214130,0,1742310,227046,3226,14,6,67,1,27,517,1951,18185,2264,137010,151331,27937,2630,1220,0,23978,40572,4,14376,27005,0,72208,87115,1598,5513,277,651,34510,286939,20621,380,139890,12726,2231,5748,0,21,406,111596,81010,526,0,51,1349,382487,2627,433155,2429,134825,0,82271,12351,94,234771,7200,1,331,431,1376,2855
1508,2015,Albania,52031,4626,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,0,0,0,0,0,0,0,1961,0,0,0,0,0,0,0,0,2373,0,0,0,0,0,0,0,0,0,0,0
1509,2015,Andorra,42082,1919,611,0,0,0,0,0,0,0,0,640,0,0,61,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3764,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,11012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20446,0,0,0,0,0,46,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,99,0,96,0,0,0,0,0,0,0,0,0
1510,2015,Bosnia and Herzegovina,38574,471,482,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,177,0,0,0,0,0,0,0,0,0,0,0,10222,0,0,0,0,3389,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1511,2015,Croatia,575738,14809,4985,0,173,56,0,0,0,0,0,200,0,0,1595,5148,0,0,0,0,0,94,375,0,0,0,0,32,404874,0,193,0,0,305,0,0,0,0,0,1004,0,0,0,0,0,126,446,0,0,45,0,0,0,0,0,0,0,0,0,949,0,0,102,0,0,0,0,247,0,0,0,20,0,0,0,0,39,1760,0,0,0,0,0,33774,0,0,147,0,0,0,0,0,0,0,0,0,0,0,1044,0,67,27,48,82,53,0,55,3140,0,56,68,67,0,0,0,0,0,27,65,0,0,150,0,26,31,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,6181,0,29,0,0,0,0,0,809,0,116,0,0,29,0,0,113,0,0,0,0,0,0,86,75,737,50,0,0,27,114,0,499,1311,0,0,0,0,0,0,0,0,0,0,0,51185,0,0,0,0,644,19587,0,0,203,0,188,0,43,66,0,0,628,3009,180,0,10055,0,0,0,0,0,0,0,86,0,0,0,0,758,0,670,0,1616,0,0,0,0,55,0,0,0,0,46,0
1512,2015,Gibraltar,11065,1415,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5673,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,2015,Greece,1242924,0,0,6331,437356,1102,0,4,9,11,29,641,14287,1,20224,2253,507,23,23,9812,11,1457,5124,5,8,8,2,23,440,8,2216,1,0,72893,79,133,14,22,462,12611,0,0,393,19,2,367,3396,0,0,399,73,1414,0,38,115,429,352,0,21607,4430,34,209,901,39,19,566,84,28267,50,1,280,129,2420,1,0,1,771,6695,0,10,8,50,83388,114343,597,5,0,3,2,0,0,30,182,0,11,38,0,50,1728,54,10152,443,1905,3651,590,5,712,6303,12,509,813,26982,454,0,140,548,41,352,2052,0,31,641,10,545,139,130,0,63,3,29,90,0,0,118,38,0,396,0,45,8,0,78,2076,65,20,8,0,50,3746,0,491,160,24,2857,0,0,517,5,31295,188,157,4,79,291,8470,15664,325,0,1103,211,10049,0,46193,54192,97,4,2,0,1,7,449,1,7,426,640,4382,24,175,82,0,863,130,0,742,6910,0,1181,889,1001,1855,9,22,5419,3698,7044,97,2169,378,217,14,0,0,18,636,33489,116,0,11,140,19457,86,17679,395,23249,0,113,8208,71,1026,210,1,0,27,239,420
1514,2015,Holy See,803,487,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1515,2015,Italy,5805325,0,0,6568,447583,22471,0,130,1869,0,23,73183,1256,0,19850,16331,709,93,50,97036,50,32383,46393,24,2566,0,35,15698,11106,44,104207,0,32,57691,11657,1007,6160,1322,11457,25540,0,0,238,563,0,12427,200434,0,0,39532,37,3385,0,1508,25555,24709,33469,0,650,10403,125,6087,3238,89,337,42269,88329,108490,12464,121,13593,1382,30401,0,0,44,2827,134403,0,0,384,1515,12226,220013,46548,0,17405,0,16,0,0,2135,3899,782,74,703,178,2323,12889,207,136403,3159,14433,3889,3629,0,3883,0,346,8285,2991,3851,3641,5,543,1326,260,3200,7086,31,2006,36222,132,5646,4799,2382,171,613,34,4177,1928,5,0,677,9499,0,8827,13,1617,275,2285,0,425238,857,441,93,2,1775,13034,0,901,1175,1060,56259,0,0,1981,52,84792,7,1021,32,2636,116038,143457,118641,6415,0,80,3931,166819,0,1021613,80750,778,0,4,22,0,20,68,1913,74,962,84815,45581,978,1377,567,0,10996,4699,4,11556,5657,0,31829,85093,391,2914,50,36,6411,198170,6058,186,73033,9866,79,5152,0,21,167,107671,20491,206,0,6,967,232241,370,70986,1604,54679,0,7500,2509,23,48970,5258,0,0,263,874,881
1516,2015,Malta,42430,28,1977,0,90,61,0,0,0,0,0,12,32,0,5053,129,0,0,0,17,0,33,194,0,0,0,0,0,191,0,112,0,0,1055,0,0,0,0,0,2053,0,0,0,0,0,0,417,0,0,0,0,0,0,0,0,85,0,0,52,95,0,0,153,0,0,0,0,546,0,0,610,0,400,0,0,0,92,502,0,0,0,0,47,1147,79,0,90,0,0,0,0,0,0,0,0,0,0,0,168,0,307,26,35,96,318,0,13,1823,0,53,46,0,38,0,67,0,0,90,75,0,0,935,0,52,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,496,0,50,0,43,397,0,0,77,0,213,0,0,0,0,32,559,290,67,0,0,0,40,0,791,1107,0,0,0,0,0,0,0,0,0,31,0,643,0,0,36,0,119,25,0,1210,203,0,176,20,62,273,0,0,543,121,307,0,35,125,0,0,0,0,15,376,268,0,0,0,0,336,30,12046,0,1403,0,0,23,0,0,0,0,0,0,0,42
